objectid,parentid,title,creator,date,description,subject,location,source,identifier,type,language,rights,display_template,object_location
food_001,,"Interview with Betty Fussell, Part 1",Betty Fussell; Judith Weinraub,2010-03-24,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry.
In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff.
Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food.
Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.
Fussell discusses her early years as well as her life and work since 1999, including her presence in the growing food blogosphere.","Beard, James, 1903-1985; ""Bocuse, Paul, 1926-2018""; ""Child, Julia""; ""Claiborne, Craig""; ""David, Elizabeth, 1913-1992""; ""Fischer, M. F. K. (Mary Frances Kennedy), 1908-1992""; ""Fussell, Paul, 1924-2012""; ""Fussell, Betty Harper""; ""Jones, Judith, 1924-2017""; ""Hodgson, Moira""; ""Normand, Mabel, 1894-1930""; ""Alfred A. Knopf, Inc.""; American Institute of Wine & Food; ""Doubleday and Company, Inc.""; International Association of Culinary Professionals; Ordre international des disciples d'Auguste Escoffier; Ticknor and Fields; ""Times Books (New York, N.Y.)""; Viking Press; Authors and publishers; Authorship; Blogs; ""Cooking, American -- History -- 20th century""; ""Cooking, American -- Midwestern style""; ""Cooking, French""; Cooking -- Study and teaching; Corn; Dinners and dining; Entertaining; Feminism; Food habits; Food writing; Gastronomy; Marriage; Menus; Sex roles; Universities and colleges -- Faculty;","Greenwich Village, New York","Voices from the Food Revolution: People Who Changed The Way Americans Eat, New York University",,,eng,Copyright (or related rights to publicity and privacy) for materials in this collection was not transferred to New York University. Permissions to quote or paraphrase from the interviews or transcripts must be obtained from the interviewee or his/her literary estate. Please contact fales.library@nyu.edu. or call 212 998 2596.,compound_object,https://findingaids.library.nyu.edu/fales/mss_309/contents/aspace_ref21/
food_002,food_001,"Interview with Betty Fussell, Part 1, recording",Betty Fussell; Judith Weinraub,2010-03-24,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry.
In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff.
Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food.
Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.
Fussell discusses her early years as well as her life and work since 1999, including her presence in the growing food blogosphere.","Beard, James, 1903-1985; ""Bocuse, Paul, 1926-2018""; ""Child, Julia""; ""Claiborne, Craig""; ""David, Elizabeth, 1913-1992""; ""Fischer, M. F. K. (Mary Frances Kennedy), 1908-1992""; ""Fussell, Paul, 1924-2012""; ""Fussell, Betty Harper""; ""Jones, Judith, 1924-2017""; ""Hodgson, Moira""; ""Normand, Mabel, 1894-1930""; ""Alfred A. Knopf, Inc.""; American Institute of Wine & Food; ""Doubleday and Company, Inc.""; International Association of Culinary Professionals; Ordre international des disciples d'Auguste Escoffier; Ticknor and Fields; ""Times Books (New York, N.Y.)""; Viking Press; Authors and publishers; Authorship; Blogs; ""Cooking, American -- History -- 20th century""; ""Cooking, American -- Midwestern style""; ""Cooking, French""; Cooking -- Study and teaching; Corn; Dinners and dining; Entertaining; Feminism; Food habits; Food writing; Gastronomy; Marriage; Menus; Sex roles; Universities and colleges -- Faculty;","Greenwich Village, New York","Voices from the Food Revolution: People Who Changed The Way Americans Eat, New York University",MSS_309.ref22.1,Sound,eng,Copyright (or related rights to publicity and privacy) for materials in this collection was not transferred to New York University. Permissions to quote or paraphrase from the interviews or transcripts must be obtained from the interviewee or his/her literary estate. Please contact fales.library@nyu.edu. or call 212 998 2596.,record,https://hdl.handle.net/2333.1/7pvmcw16
food_003,food_001,"Interview with Betty Fussell, Part 1, transcript a",Betty Fussell; Judith Weinraub,2010-03-24,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry.
In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff.
Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food.
Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.
Fussell discusses her early years as well as her life and work since 1999, including her presence in the growing food blogosphere.","Beard, James, 1903-1985; ""Bocuse, Paul, 1926-2018""; ""Child, Julia""; ""Claiborne, Craig""; ""David, Elizabeth, 1913-1992""; ""Fischer, M. F. K. (Mary Frances Kennedy), 1908-1992""; ""Fussell, Paul, 1924-2012""; ""Fussell, Betty Harper""; ""Jones, Judith, 1924-2017""; ""Hodgson, Moira""; ""Normand, Mabel, 1894-1930""; ""Alfred A. Knopf, Inc.""; American Institute of Wine & Food; ""Doubleday and Company, Inc.""; International Association of Culinary Professionals; Ordre international des disciples d'Auguste Escoffier; Ticknor and Fields; ""Times Books (New York, N.Y.)""; Viking Press; Authors and publishers; Authorship; Blogs; ""Cooking, American -- History -- 20th century""; ""Cooking, American -- Midwestern style""; ""Cooking, French""; Cooking -- Study and teaching; Corn; Dinners and dining; Entertaining; Feminism; Food habits; Food writing; Gastronomy; Marriage; Menus; Sex roles; Universities and colleges -- Faculty;","Greenwich Village, New York","Voices from the Food Revolution: People Who Changed The Way Americans Eat, New York University",Fussell_Betty_2009_03_18_transcript_a_en,Text,eng,Copyright (or related rights to publicity and privacy) for materials in this collection was not transferred to New York University. Permissions to quote or paraphrase from the interviews or transcripts must be obtained from the interviewee or his/her literary estate. Please contact fales.library@nyu.edu. or call 212 998 2596.,record,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Fussell_Betty-interview_1/Fussell_Betty-2009_03_18-a-interview.precision.en.txt
food_004,food_001,"Interview with Betty Fussell, Part 1, transcript b",Betty Fussell; Judith Weinraub,2010-03-24,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry.
In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff.
Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food.
Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.
Fussell discusses her early years as well as her life and work since 1999, including her presence in the growing food blogosphere.","Beard, James, 1903-1985; ""Bocuse, Paul, 1926-2018""; ""Child, Julia""; ""Claiborne, Craig""; ""David, Elizabeth, 1913-1992""; ""Fischer, M. F. K. (Mary Frances Kennedy), 1908-1992""; ""Fussell, Paul, 1924-2012""; ""Fussell, Betty Harper""; ""Jones, Judith, 1924-2017""; ""Hodgson, Moira""; ""Normand, Mabel, 1894-1930""; ""Alfred A. Knopf, Inc.""; American Institute of Wine & Food; ""Doubleday and Company, Inc.""; International Association of Culinary Professionals; Ordre international des disciples d'Auguste Escoffier; Ticknor and Fields; ""Times Books (New York, N.Y.)""; Viking Press; Authors and publishers; Authorship; Blogs; ""Cooking, American -- History -- 20th century""; ""Cooking, American -- Midwestern style""; ""Cooking, French""; Cooking -- Study and teaching; Corn; Dinners and dining; Entertaining; Feminism; Food habits; Food writing; Gastronomy; Marriage; Menus; Sex roles; Universities and colleges -- Faculty;","Greenwich Village, New York","Voices from the Food Revolution: People Who Changed The Way Americans Eat, New York University",Fussell_Betty_2009_03_18_transcript_b_en,Text,eng,Copyright (or related rights to publicity and privacy) for materials in this collection was not transferred to New York University. Permissions to quote or paraphrase from the interviews or transcripts must be obtained from the interviewee or his/her literary estate. Please contact fales.library@nyu.edu. or call 212 998 2596.,record,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Fussell_Betty-interview_1/Fussell_Betty-2009_03_18-b-interview.precision.en.txt
food_005,,"Interview with Betty Fussell, Part 2",Betty Fussell; Judith Weinraub,2010-05-18,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry.
In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff.
Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food.
Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.
Fussell discusses her early years as well as her life and work since 1999, including her presence in the growing food blogosphere.","Beard, James, 1903-1985; ""Bocuse, Paul, 1926-2018""; ""Child, Julia""; ""Claiborne, Craig""; ""David, Elizabeth, 1913-1992""; ""Fischer, M. F. K. (Mary Frances Kennedy), 1908-1992""; ""Fussell, Paul, 1924-2012""; ""Fussell, Betty Harper""; ""Jones, Judith, 1924-2017""; ""Hodgson, Moira""; ""Normand, Mabel, 1894-1930""; ""Alfred A. Knopf, Inc.""; American Institute of Wine & Food; ""Doubleday and Company, Inc.""; International Association of Culinary Professionals; Ordre international des disciples d'Auguste Escoffier; Ticknor and Fields; ""Times Books (New York, N.Y.)""; Viking Press; Authors and publishers; Authorship; Blogs; ""Cooking, American -- History -- 20th century""; ""Cooking, American -- Midwestern style""; ""Cooking, French""; Cooking -- Study and teaching; Corn; Dinners and dining; Entertaining; Feminism; Food habits; Food writing; Gastronomy; Marriage; Menus; Sex roles; Universities and colleges -- Faculty;",,"Voices from the Food Revolution: People Who Changed The Way Americans Eat, New York University",,,eng,Copyright (or related rights to publicity and privacy) for materials in this collection was not transferred to New York University. Permissions to quote or paraphrase from the interviews or transcripts must be obtained from the interviewee or his/her literary estate. Please contact fales.library@nyu.edu. or call 212 998 2596.,compound_object,https://findingaids.library.nyu.edu/fales/mss_309/contents/aspace_ref21/
food_006,food_005,"Interview with Betty Fussell, Part 2, recording",Betty Fussell; Judith Weinraub,2010-05-18,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry.
In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff.
Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food.
Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.
Fussell discusses her early years as well as her life and work since 1999, including her presence in the growing food blogosphere.","Beard, James, 1903-1985; ""Bocuse, Paul, 1926-2018""; ""Child, Julia""; ""Claiborne, Craig""; ""David, Elizabeth, 1913-1992""; ""Fischer, M. F. K. (Mary Frances Kennedy), 1908-1992""; ""Fussell, Paul, 1924-2012""; ""Fussell, Betty Harper""; ""Jones, Judith, 1924-2017""; ""Hodgson, Moira""; ""Normand, Mabel, 1894-1930""; ""Alfred A. Knopf, Inc.""; American Institute of Wine & Food; ""Doubleday and Company, Inc.""; International Association of Culinary Professionals; Ordre international des disciples d'Auguste Escoffier; Ticknor and Fields; ""Times Books (New York, N.Y.)""; Viking Press; Authors and publishers; Authorship; Blogs; ""Cooking, American -- History -- 20th century""; ""Cooking, American -- Midwestern style""; ""Cooking, French""; Cooking -- Study and teaching; Corn; Dinners and dining; Entertaining; Feminism; Food habits; Food writing; Gastronomy; Marriage; Menus; Sex roles; Universities and colleges -- Faculty;",,"Voices from the Food Revolution: People Who Changed The Way Americans Eat, New York University",MSS_309.ref23.1,Sound,eng,Copyright (or related rights to publicity and privacy) for materials in this collection was not transferred to New York University. Permissions to quote or paraphrase from the interviews or transcripts must be obtained from the interviewee or his/her literary estate. Please contact fales.library@nyu.edu. or call 212 998 2596.,record,https://hdl.handle.net/2333.1/3xsj3vhv
food_007,food_005,"Interview with Betty Fussell, Part 2, transcript",Betty Fussell; Judith Weinraub,2010-05-18,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry.
In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff.
Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food.
Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.
Fussell discusses her early years as well as her life and work since 1999, including her presence in the growing food blogosphere.","Beard, James, 1903-1985; ""Bocuse, Paul, 1926-2018""; ""Child, Julia""; ""Claiborne, Craig""; ""David, Elizabeth, 1913-1992""; ""Fischer, M. F. K. (Mary Frances Kennedy), 1908-1992""; ""Fussell, Paul, 1924-2012""; ""Fussell, Betty Harper""; ""Jones, Judith, 1924-2017""; ""Hodgson, Moira""; ""Normand, Mabel, 1894-1930""; ""Alfred A. Knopf, Inc.""; American Institute of Wine & Food; ""Doubleday and Company, Inc.""; International Association of Culinary Professionals; Ordre international des disciples d'Auguste Escoffier; Ticknor and Fields; ""Times Books (New York, N.Y.)""; Viking Press; Authors and publishers; Authorship; Blogs; ""Cooking, American -- History -- 20th century""; ""Cooking, American -- Midwestern style""; ""Cooking, French""; Cooking -- Study and teaching; Corn; Dinners and dining; Entertaining; Feminism; Food habits; Food writing; Gastronomy; Marriage; Menus; Sex roles; Universities and colleges -- Faculty;",,"Voices from the Food Revolution: People Who Changed The Way Americans Eat, New York University",Fussell_Betty_2009_03_24_transcript_a_en,Text,eng,Copyright (or related rights to publicity and privacy) for materials in this collection was not transferred to New York University. Permissions to quote or paraphrase from the interviews or transcripts must be obtained from the interviewee or his/her literary estate. Please contact fales.library@nyu.edu. or call 212 998 2596.,record,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Fussell_Betty-interview_2/Fussell_Betty-2009_03_24-interview.precision.en.txt
food_008,,"Interview with Betty Fussell, Part 3",Betty Fussell; Judith Weinraub,2010-05-20,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry.
In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff.
Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food.
Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.
Fussell discusses her early years as well as her life and work since 1999, including her presence in the growing food blogosphere.","Beard, James, 1903-1985; ""Bocuse, Paul, 1926-2018""; ""Child, Julia""; ""Claiborne, Craig""; ""David, Elizabeth, 1913-1992""; ""Fischer, M. F. K. (Mary Frances Kennedy), 1908-1992""; ""Fussell, Paul, 1924-2012""; ""Fussell, Betty Harper""; ""Jones, Judith, 1924-2017""; ""Hodgson, Moira""; ""Normand, Mabel, 1894-1930""; ""Alfred A. Knopf, Inc.""; American Institute of Wine & Food; ""Doubleday and Company, Inc.""; International Association of Culinary Professionals; Ordre international des disciples d'Auguste Escoffier; Ticknor and Fields; ""Times Books (New York, N.Y.)""; Viking Press; Authors and publishers; Authorship; Blogs; ""Cooking, American -- History -- 20th century""; ""Cooking, American -- Midwestern style""; ""Cooking, French""; Cooking -- Study and teaching; Corn; Dinners and dining; Entertaining; Feminism; Food habits; Food writing; Gastronomy; Marriage; Menus; Sex roles; Universities and colleges -- Faculty;",,"Voices from the Food Revolution: People Who Changed The Way Americans Eat, New York University",,,eng,Copyright (or related rights to publicity and privacy) for materials in this collection was not transferred to New York University. Permissions to quote or paraphrase from the interviews or transcripts must be obtained from the interviewee or his/her literary estate. Please contact fales.library@nyu.edu. or call 212 998 2596.,compound_object,https://findingaids.library.nyu.edu/fales/mss_309/contents/aspace_ref21/
food_009,food_008,"Interview with Betty Fussell, Part 3, recording",Betty Fussell; Judith Weinraub,2010-05-20,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry.
In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff.
Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food.
Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.
Fussell discusses her early years as well as her life and work since 1999, including her presence in the growing food blogosphere.","Beard, James, 1903-1985; ""Bocuse, Paul, 1926-2018""; ""Child, Julia""; ""Claiborne, Craig""; ""David, Elizabeth, 1913-1992""; ""Fischer, M. F. K. (Mary Frances Kennedy), 1908-1992""; ""Fussell, Paul, 1924-2012""; ""Fussell, Betty Harper""; ""Jones, Judith, 1924-2017""; ""Hodgson, Moira""; ""Normand, Mabel, 1894-1930""; ""Alfred A. Knopf, Inc.""; American Institute of Wine & Food; ""Doubleday and Company, Inc.""; International Association of Culinary Professionals; Ordre international des disciples d'Auguste Escoffier; Ticknor and Fields; ""Times Books (New York, N.Y.)""; Viking Press; Authors and publishers; Authorship; Blogs; ""Cooking, American -- History -- 20th century""; ""Cooking, American -- Midwestern style""; ""Cooking, French""; Cooking -- Study and teaching; Corn; Dinners and dining; Entertaining; Feminism; Food habits; Food writing; Gastronomy; Marriage; Menus; Sex roles; Universities and colleges -- Faculty;",,"Voices from the Food Revolution: People Who Changed The Way Americans Eat, New York University",MSS_309.ref43.1,Sound,eng,Copyright (or related rights to publicity and privacy) for materials in this collection was not transferred to New York University. Permissions to quote or paraphrase from the interviews or transcripts must be obtained from the interviewee or his/her literary estate. Please contact fales.library@nyu.edu. or call 212 998 2596.,record,https://hdl.handle.net/2333.1/05qftv0m
food_010,food_008,"Interview with Betty Fussell, Part 3, transcript",Betty Fussell; Judith Weinraub,2010-05-20,"The distinguished historian Betty Fussell was one of the first American writers to focus on food as a legitimate subject of scientific, social, and anthropological inquiry.
In her 1999, The Story of Corn: the Myths and History, the Culture and Agriculture, the Art and Science of America's Quintessential Crop, Fussel used the history of corn to tell a distinctly American story. She also created a genre, now much imitated by other writers, focused on a single foodstuff.
Born in 1927 in California and reared there, she has made her home in New York's Greenwich Village for decades. She lives around the corner from James Beard's cooking school run out of his home. Her only contact was a week's worth of classes there, but they share an abiding passion for American food.
Her essays in literary journals, major newspapers, national magazines and encyclopedias are written with a grace few food writers can match. She also lectures at museums, universities, state fairs, corn festivals, historical societies and culinary groups. In 1999, her food memoir, My Kitchen Wars, traced her life from her childhoood through her marriage to a college sweetheart, her travails as an academic wife, her own academic career, the women's movement, and her wider success when she found her essential subject: food.
Fussell discusses her early years as well as her life and work since 1999, including her presence in the growing food blogosphere.","Beard, James, 1903-1985; ""Bocuse, Paul, 1926-2018""; ""Child, Julia""; ""Claiborne, Craig""; ""David, Elizabeth, 1913-1992""; ""Fischer, M. F. K. (Mary Frances Kennedy), 1908-1992""; ""Fussell, Paul, 1924-2012""; ""Fussell, Betty Harper""; ""Jones, Judith, 1924-2017""; ""Hodgson, Moira""; ""Normand, Mabel, 1894-1930""; ""Alfred A. Knopf, Inc.""; American Institute of Wine & Food; ""Doubleday and Company, Inc.""; International Association of Culinary Professionals; Ordre international des disciples d'Auguste Escoffier; Ticknor and Fields; ""Times Books (New York, N.Y.)""; Viking Press; Authors and publishers; Authorship; Blogs; ""Cooking, American -- History -- 20th century""; ""Cooking, American -- Midwestern style""; ""Cooking, French""; Cooking -- Study and teaching; Corn; Dinners and dining; Entertaining; Feminism; Food habits; Food writing; Gastronomy; Marriage; Menus; Sex roles; Universities and colleges -- Faculty;",,"Voices from the Food Revolution: People Who Changed The Way Americans Eat, New York University",Fussell_Betty_2009_05_20_transcript_a_en,Text,eng,Copyright (or related rights to publicity and privacy) for materials in this collection was not transferred to New York University. Permissions to quote or paraphrase from the interviews or transcripts must be obtained from the interviewee or his/her literary estate. Please contact fales.library@nyu.edu. or call 212 998 2596.,record,https://sites.dlib.nyu.edu/media/api/v0/service/fileserver/av/fales/beard/Fussell_Betty-interview_3/Fussell_Betty-2009_05_20-interview.precision.en.txt
